,Sample,Age,Sex,Tissue
0,E-GEOD-36194_GSM884792,82.0,female,frontal cortex
1,E-GEOD-36194_GSM884702,11.0,male,frontal cortex
2,E-GEOD-36194_GSM884637,31.0,male,frontal cortex
3,E-GEOD-36194_GSM884821,81.0,male,frontal cortex
4,E-GEOD-36194_GSM884781,92.0,male,frontal cortex
5,E-GEOD-36194_GSM884770,53.0,female,frontal cortex
6,E-GEOD-36194_GSM884730,42.0,male,frontal cortex
7,E-GEOD-36194_GSM884691,45.0,male,frontal cortex
8,E-GEOD-36194_GSM884814,82.0,female,frontal cortex
9,E-GEOD-36194_GSM884569,85.0,female,cerebellum
10,E-GEOD-36194_GSM884612,4.0,male,frontal cortex
11,E-GEOD-36194_GSM884669,43.0,male,frontal cortex
12,E-GEOD-36194_GSM884642,16.0,male,frontal cortex
13,E-GEOD-36194_GSM884768,68.0,male,frontal cortex
14,E-GEOD-36194_GSM884675,91.0,male,frontal cortex
15,E-GEOD-36194_GSM884738,25.0,female,frontal cortex
16,E-GEOD-36194_GSM884644,16.0,female,frontal cortex
17,E-GEOD-36194_GSM884841,32.0,female,frontal cortex
18,E-GEOD-36194_GSM884788,89.0,male,frontal cortex
19,E-GEOD-36194_GSM884618,21.0,male,frontal cortex
20,E-GEOD-36194_GSM884680,59.0,female,frontal cortex
21,E-GEOD-36194_GSM884735,22.0,male,frontal cortex
22,E-GEOD-36194_GSM884801,85.0,male,frontal cortex
23,E-GEOD-36194_GSM884629,102.0,female,frontal cortex
24,E-GEOD-36194_GSM884609,24.0,female,frontal cortex
25,E-GEOD-36194_GSM884714,27.0,male,frontal cortex
26,E-GEOD-36194_GSM884695,48.0,male,frontal cortex
27,E-GEOD-36194_GSM884577,85.0,female,cerebellum
28,E-GEOD-36194_GSM884580,81.0,male,cerebellum
29,E-GEOD-36194_GSM884767,90.0,male,frontal cortex
30,E-GEOD-36194_GSM884723,91.0,female,frontal cortex
31,E-GEOD-36194_GSM884825,16.0,male,frontal cortex
32,E-GEOD-36194_GSM884832,48.0,male,frontal cortex
33,E-GEOD-36194_GSM884628,95.0,female,frontal cortex
34,E-GEOD-36194_GSM884690,18.0,female,frontal cortex
35,E-GEOD-36194_GSM884813,85.0,female,frontal cortex
36,E-GEOD-36194_GSM884667,55.0,male,frontal cortex
37,E-GEOD-36194_GSM884670,16.0,male,frontal cortex
38,E-GEOD-36194_GSM884784,91.0,male,frontal cortex
39,E-GEOD-36194_GSM884840,71.0,male,frontal cortex
40,E-GEOD-36194_GSM884619,38.0,female,frontal cortex
41,E-GEOD-36194_GSM884684,45.0,male,frontal cortex
42,E-GEOD-36194_GSM884683,14.0,female,frontal cortex
43,E-GEOD-36194_GSM884636,44.0,female,frontal cortex
44,E-GEOD-36194_GSM884641,15.0,female,frontal cortex
45,E-GEOD-36194_GSM884671,22.0,male,frontal cortex
46,E-GEOD-36194_GSM884836,79.0,male,frontal cortex
47,E-GEOD-36194_GSM884623,23.0,female,frontal cortex
